health_lost,time_survived,score,bullets_hit,fireballs_hit,iceballs_hit,rays_hit,outcome
28,38137,1067.836,41,9,16,2,defeated
26,50559,1314.534,52,8,20,4,defeated
27,45541,1229.607,44,8,17,3,defeated
28,34902,977.256,35,9,16,2,defeated
30,35089,1052.67,31,8,16,0,defeated
29,36201,1049.829,35,13,16,1,defeated
29,57736,1674.344,58,12,24,1,defeated
30,26980,809.4,28,10,11,0,defeated
29,35041,1016.189,34,10,13,1,defeated
23,55663,1280.249,56,7,23,7,defeated
28,40837,1143.436,42,9,15,2,defeated
27,51257,1383.939,52,8,27,3,defeated
26,37766,981.916,38,9,14,4,defeated
28,48755,1365.14,50,9,17,2,defeated
27,34227,924.129,40,8,15,3,defeated
29,45342,1314.918,50,9,24,1,defeated
25,45452,1136.3,49,9,19,5,defeated
27,45734,1234.818,49,10,21,3,defeated
29,37421,1085.209,37,8,15,1,defeated
27,43261,1168.047,42,7,22,3,defeated
30,31567,947.01,32,10,14,0,defeated
27,45289,1222.803,51,9,20,3,defeated
25,52796,1319.9,55,8,23,5,defeated
21,79222,1663662,55,6,35,2,Survived
27,38653,1043.631,34,9,16,3,defeated
28,35386,990.808,27,10,9,2,defeated
30,45351,1360.53,39,9,22,0,defeated
29,35533,1030.457,26,9,12,1,defeated
29,59036,1712.044,42,9,17,1,defeated
29,36036,1045.044,25,9,12,1,defeated
29,47472,1376.688,45,10,23,1,defeated
29,53887,1562.723,49,8,25,1,defeated
29,33796,980.084,32,9,18,1,defeated
28,36214,1013.992,30,10,17,2,defeated
28,29046,813.288,30,7,16,2,defeated
28,45642,1277.976,52,8,25,2,defeated
27,38810,1047.87,38,9,16,3,defeated
29,44724,1296.996,46,9,20,1,defeated
30,53872,1616.16,54,12,26,0,defeated
29,38056,1103.624,38,8,17,1,defeated
